normalized_file_title_map
file_name,article_name,normalized_title
PDFs_07_04_Luis/Integrating Social and Behavior Change in Climate Change Adaptation- An Introductory Guide.pdf,Integrating Social and Behavior Change in Climate Change Adaptation: An Introductory Guide,Integrating Social And Behavior Change In Climate Change Adaptation: An Introductory Guide
PDFs_07_04_Luis/Redwood Climate Comms Tookit.pdf,Climate Communications Toolkit,Climate Communications Toolkit
"PDFs_07_04_Luis/Making Nature Count for Adaptation- Global, national and local action to value services provided by nature.pdf","MAKING NATURE COUNT FOR ADAPTATION: Global, national and local action to value services provided by nature","Making Nature Count For Adaptation: Global, National And Local Action To Value Services Provided By Nature"
PDFs_07_04_Luis/Indigenous Rights and Sovereignty in National Climate Policies- A Systematic Analysis.pdf,Indigenous Rights and Sovereignty in National Climate Policies,Indigenous Rights And Sovereignty In National Climate Policies
PDFs_07_04_Luis/Getting Ready to Finance- Project Preparation Template Instructions.pdf,Project Preparation Template Instructions,Project Preparation Template Instructions
PDFs_07_04_Luis/Natural and Nature-Based Climate Change Adaptation Community of Practice.pdf,Framework for assessing the costs and benefits of nature-based climate solutions in Atlantic Canada,Framework For Assessing The Costs And Benefits Of Nature-based Climate Solutions In Atlantic Canada
PDFs_07_04_Luis/Planning to be a Part of my Region! Grade 9 lesson plans designed for students in the Region of Peel.pdf,Climate Change: Planning to be part of my Region!,Climate Change: Planning To Be Part Of My Region!
PDFs_07_04_Luis/Improving the Use of Uncertain Climate Information in Decision-Making- A Behavioral Psychology Approach.pdf,IMPROVING THE USE OF UNCERTAIN CLIMATE INFORMATION IN DECISION-MAKING: A BEHAVIORAL PSYCHOLOGY APPROACH,Improving The Use Of Uncertain Climate Information In Decision-making: A Behavioral Psychology Approach
PDFs_07_04_Luis/Water Asset Resilience Best Practices in the Context of Climate Change.pdf,Water Asset Resilience: Best Practices in the Context of Climate Change,Water Asset Resilience: Best Practices In The Context Of Climate Change
PDFs_07_04_Luis/RESILIENCE COMPONENT.pdf,WATER ASSET RESILIENCE BEST PRACTICES IN THE CONTEXT OF CLIMATE CHANGE,Water Asset Resilience Best Practices In The Context Of Climate Change
PDFs_07_04_Luis/Mobilizing private capital for climate adaptation infrastructure.pdf,MOBILIZING PRIVATE CAPITAL FOR CLIMATE ADAPTATION INFRASTRUCTURE,Mobilizing Private Capital For Climate Adaptation Infrastructure
PDFs_07_04_Luis/For our Future- Indigenous Resilience Report.pdf,Indigenous Resilience Report,Indigenous Resilience Report
PDFs_07_04_Luis/Indigenous Climate Resilience Resource Hub.pdf,"INDIGENOUS  
CLIMA TE  
RESILIENCE  
RESOURCE HUB",Indigenous Clima Te Resilience Resource Hub
PDFs_07_04_Luis/ORCCA Seasonal Outlook Spring:Summer 2024.pdf,SEASONAL OUTLOOK SPRING/SUMMER 2024,Seasonal Outlook Spring/summer 2024
"PDFs_07_04_Luis/Innovations in data collection, monitoring and analysis to advance local climate resilience in public spaces.pdf","Innovations in data collection, monitoring and analysis to advance local climate resilience in public spaces","Innovations In Data Collection, Monitoring And Analysis To Advance Local Climate Resilience In Public Spaces"
PDFs_07_04_Luis/Guide for Integrating Climate Change Considerations into Municipal Asset Management.pdf,Guide for Integrating Climate Change Considerations into Municipal Asset Management,Guide For Integrating Climate Change Considerations Into Municipal Asset Management
PDFs_07_04_Luis/TURNING THE TIDE- How flood risk transparency can drive equitable outcomes in Canada.pdf,A RISING TIDE : How flood risk transparency can drive equitable outcomes in Canada,A Rising Tide : How Flood Risk Transparency Can Drive Equitable Outcomes In Canada
PDFs_07_04_Luis/Nature is infrastructure- How to include natural assets in asset management plans.pdf,Nature is Infrastructure: How to Include Natural Assets in Asset Management Plans,Nature Is Infrastructure: How To Include Natural Assets In Asset Management Plans
PDFs_07_04_Luis/The Indigenous Cultural Rights and Interest Spirit of the Land.pdf,SPIRIT of the LAND - The Indigenous Cultural Rights and Interests Toolkit,Spirit Of The Land - The Indigenous Cultural Rights And Interests Toolkit
PDFs_07_04_Luis/Guide for Cities on Health-Oriented Planning and Use of Urban Green Spaces.pdf,Guide for Cities on Health-Oriented Planning and Use of Urban Green Spaces,Guide For Cities On Health-oriented Planning And Use Of Urban Green Spaces
PDFs_07_04_Luis/Sowing the Seeds for Local Climate Leadership- A Learning Guide for Resident Engagement Using a Connected Communities Approach.pdf,SOWING THE SEEDS FOR LOCAL CLIMATE LEADERSHIP: A LEARNING GUIDE FOR RESIDENT ENGAGEMENT USING A CONNECTED COMMUNITIES APPROACH,Sowing The Seeds For Local Climate Leadership: A Learning Guide For Resident Engagement Using A Connected Communities Approach
PDFs_07_04_Luis/Recommendations to Municipalities in Response to Heat Warnings.pdf,Recommendations to Municipalities in Response to Heat Warnings,Recommendations To Municipalities In Response To Heat Warnings
PDFs_07_04_Luis/Heat-proofing community housing- Prioritizing extreme heat adaptation for vulnerable Canadians.pdf,HEAT-PROOFING COMMUNITY HOUSING: PRIORITIZING EXTREME HEAT ADAPTATION FOR VULNERABLE CANADIANS,Heat-proofing Community Housing: Prioritizing Extreme Heat Adaptation For Vulnerable Canadians
PDFs_07_04_Luis/Incident Action Checklist – Extreme Heat.pdf,Extreme Heat Impacts on Water and Wastewater Utilities,Extreme Heat Impacts On Water And Wastewater Utilities
largepdfs/Decolonizing Climate Policy in Canada – Report from Phase 2 _ Part 1.pdf,Decolonizing Climate Policy in Canada,Decolonizing Climate Policy In Canada
largepdfs/Aligning Local Government Climate Action with UNDRIP.pdf,Aligning Local Government Climate Action with UNDRIP,Aligning Local Government Climate Action With Undrip
largepdfs/Cites adapt to extreme wildfires celebrating local leadershipCites adapt to extreme wildfires celebrating local leadership.pdf,Cities Adapt to Extreme Wildfires: Celebrating Local Leadership,Cities Adapt To Extreme Wildfires: Celebrating Local Leadership
largepdfs/Connecting Climate Change and Health – A guidebook of health and climate change content on the Atlas of Canada.pdf,Connecting Climate Change and Health: A Guidebook of Health and Climate Change Content on the Atlas of Canada,Connecting Climate Change And Health: A Guidebook Of Health And Climate Change Content On The Atlas Of Canada
largepdfs/City of Ottawa 2022 Annual Report.pdf,City of Ottawa 2022 Annual Report,City Of Ottawa 2022 Annual Report
largepdfs/Climate Change Impact & Adaptation InfoSheets.pdf,Climate Change Impact and Adaptation InfoSheets,Climate Change Impact And Adaptation Info-sheets
largepdfs/Decolonizing Climate Policy in Canada – Report from Phase 2 _ Part 1 (1).pdf,Decolonizing Climate Policy in Canada,Decolonizing Climate Policy In Canada
largepdfs/Due North - Facing the Costs of Climate Change for Northern Infrastructure.pdf,DUE NORTH: Facing the costs of climate change for Northern infrastructure,Due North: Facing The Costs Of Climate Change For Northern Infrastructure
"largepdfs/CIPI- Transportation – Assessing the financial impacts of extreme rainfall, extreme heat and freeze-thaw cycles on transportation infrastructure in Ontario.pdf",Costing Climate Change Impacts to Public Infrastructure,Costing Climate Change Impacts To Public Infrastructure
largepdfs/Forest Adaptation Resources- climate change tools and approaches for land managers. 2nd edition.pdf,"Forest Adaptation Resources: Climate Change Tools and Approaches for Land Managers, 2nd edition","Forest Adaptation Resources: Climate Change Tools And Approaches For Land Managers, 2nd Edition"
largepdfs/Getting Ready to Finance – Examples of Resilient Infrastructure.pdf,Examples of Resilient Infrastructure,Examples Of Resilient Infrastructure
largepdfs/Getting Ready to Finance – Examples of Resilient Infrastructure (1).pdf,Examples of Resilient Infrastructure,Examples Of Resilient Infrastructure
largepdfs/Getting Ready to Finance – Examples of Resilient Infrastructure (2).pdf,Examples of Resilient Infrastructure,Examples Of Resilient Infrastructure
largepdfs/Heatwaves and Our Health – A Special Report on Climate Change in Canada.pdf,Heatwaves and Our Health – A Special Report on Climate Change in Canada,Heatwaves And Our Health – A Special Report On Climate Change In Canada
